,id,permalink,username,to,text,date,retweets,favorites,replies,mentions,hashtags,geo
0,1169399294769737728,https://twitter.com/247newsafrica/status/1169399294769737728,247newsafrica,,WeWork adds woman to its board after backlash ahead of IPO https://www.247news.africa/business-report/wework-adds-woman-to-its-board-after-backlash-ahead-of-ipo-168628/ …pic.twitter.com/hxAJiA3rwR,2019-09-04 23:58:12+00:00,0,0,0,,,
1,1169398944918642689,https://twitter.com/Idrissa06737075/status/1169398944918642689,Idrissa06737075,amy_riveter,Hello i want to get thé work,2019-09-04 23:56:49+00:00,0,0,0,,,
2,1169398501014294529,https://twitter.com/HarryHDZ/status/1169398501014294529,HarryHDZ,,Cada que vengo al SB es cómo Tampi gritando que necesita urgentemente un wework.,2019-09-04 23:55:03+00:00,0,4,4,,,
3,1169398362434670595,https://twitter.com/Ladas/status/1169398362434670595,Ladas,,Union pushes at places like YouTube and WeWork could transform white-collar work https://qz.com/work/1699632/employees-push-for-unions-at-youtube-wework-banks-and-museums/ …,2019-09-04 23:54:30+00:00,0,0,0,,,
4,1169396360048590849,https://twitter.com/SEPEgr/status/1169396360048590849,SEPEgr,,Τεχνολογία: WeWork’s Neumann returns controversial $5.9m payment http://dlvr.it/RCV2vh,2019-09-04 23:46:33+00:00,0,0,0,,,
5,1169396302582439938,https://twitter.com/a_kakihara/status/1169396302582439938,a_kakihara,,シバタナオキさんのメルカリ分析！ 先日のWeWork分析のnoteやっぱり買おう！ 数字で見るメルカリUS事業の実態、営業赤字120億円でも「心配しなくていい」ワケ｜BUSINESS INSIDER https://www.businessinsider.jp/post-198005 via @BIJapan,2019-09-04 23:46:19+00:00,1,10,10,@BIJapan,,
6,1169396031345352709,https://twitter.com/PitchBook/status/1169396031345352709,PitchBook,,"Earlier this year, @WeWork issued its CEO $5.9 million in partnership rights in exchange for the trademark to the company's new name. Now, Adam Neumann is giving those rights back. https://pitchb.co/mrA3Gr pic.twitter.com/vwSTU0BlzZ",2019-09-04 23:45:14+00:00,7,26,26,@WeWork,,
7,1169395413419532288,https://twitter.com/laurenfritts/status/1169395413419532288,laurenfritts,roee,That face!! So cute,2019-09-04 23:42:47+00:00,0,1,1,,,
8,1169395412492587008,https://twitter.com/vickyoshee/status/1169395412492587008,vickyoshee,,"Nueva edición del B2B Tech Business Innovation de @wolox en @WeWork #Medellin enfocado en Labs Innovation. Experiencias de Renault Sofasa, SURA y XM. pic.twitter.com/v1qA655PId",2019-09-04 23:42:47+00:00,0,0,0,@wolox @WeWork,#Medellin,
9,1169394791479529472,https://twitter.com/AsianStockTradr/status/1169394791479529472,AsianStockTradr,,If @wework doesn't get done we will all have to tell our tearful children that there are no unicorns anymore. $WE #wework,2019-09-04 23:40:19+00:00,0,1,1,@wework,#wework,
