index,text
0,"['stellargirl', 'I', 'loooooooovvvvvveee', 'kindle', 'Not', 'DX', 'cool', '2', 'fantastic', 'right']"
1,"['Reading', 'kindle', 'Love', 'Lee', 'child', 'good', 'read']"
2,"['Ok', 'first', 'assessment', 'kindle', 'fuck', 'rock']"
3,"['kenburbary', 'doull', 'love', 'kindle', 'Ive', 'mine', 'month', 'never', 'look', 'back', 'The', 'new', 'big', 'one', 'huge', 'No', 'need', 'remorse']"
4,"['mikefish', 'Fair', 'enough', 'But', 'kindle', 'I', 'think', 'perfect']"
5,"['richardebaker', 'big', 'Im', 'quite', 'happy', 'kindle']"
6,"['Fuck', 'economy', 'I', 'hate', 'aig', 'non', 'loan', 'give', 'ass']"
7,"['query', 'new', 'best', 'friend']"
8,"['Loves', 'twitter']"
9,"['love', 'ibama', 'make', 'joke']"
10,"['Check', 'video', 'President', 'ibama', 'White', 'House', 'Correspondents', 'Dinner']"
11,"['karol', 'I', 'firmly', 'believe', 'ObamaPelosi', 'ZERO', 'desire', 'civil', 'Its', 'charade', 'slogan', 'want', 'destroy', 'conservatism']"
12,"['House', 'Correspondents', 'dinner', 'last', 'night', 'whoopi', 'barbara', 'amp', 'sherry', 'go', 'ibama', 'get', 'stand', 'ovation']"
13,"['watch', 'EspnJus', 'see', 'new', 'Nike', 'Commerical', 'Puppet', 'Lebronsht', 'hilariousLMAO']"
14,"['dear', 'nike', 'stop', 'haywire', 'shit', 'waste', 'science', 'ugly', 'love', 'vincentx24x']"
15,"['hebron', 'best', 'athlete', 'generation', 'time', 'basketball', 'related', 'I', 'dont', 'want', 'get', 'watersport', 'debate', '12']"
16,"['I', 'talk', 'guy', 'last', 'night', 'tell', 'die', 'hard', 'Spurs', 'fan', 'He', 'also', 'told', 'hate', 'hebron', 'James']"
17,"['love', 'hebron']"
18,"['ludajuice', 'hebron', 'Beast', 'Im', 'still', 'cheer', '4', 'tail', 'end']"
19,"['Pmillzz', 'hebron', 'IS', 'THE', 'BOSS']"
20,"['sketch', 'hebron', 'hometown', 'hero', 'lol', 'I', 'love', 'maker', 'let', 'go', 'car', 'lol']"
21,"['hebron', 'zydrunas', 'awesome', 'duo']"
22,"['wordwhizkid', 'hebron', 'beast', 'nobody', 'NBA', 'come', 'even', 'close']"
23,"['download', 'apps', 'phone', 'So', 'much', 'fun', 'There', 'literally', 'app', 'anything']"
24,"['good', 'news', 'call', 'Visa', 'office', 'say', 'everything', 'finewhat', 'relief', 'I', 'sick', 'scam', 'Stealing']"
25,"['awesome', 'come', 'back', 'biz', 'via', 'fredwilson']"
26,"['In', 'montreal', 'long', 'weekend', 'ramp', 'Much', 'need']"
27,"['Booz', 'Allen', 'Hamilton', 'bad', 'as', 'homegrown', 'social', 'collaboration', 'platform', 'Way', 'cool', 'tiv']"
28,"['MLUC09', 'Customer', 'Innovation', 'Award', 'Winner', 'Booz', 'Allen', 'Hamilton']"
29,"['sophie', 'I', 'current', 'use', 'Nikon', 'd10', 'love', 'much', 'Canon', '40.50', 'I', 'chose', 'd10', 'video', 'feature', 'My', 'mistake']"
30,"['need', 'suggestion', 'good', 'IR', 'filter', 'canon', '40', 'get', 'pls', 'DM']"
31,"['surfeit', 'I', 'checked', 'goole', 'business', 'blip', 'show', 'second', 'entry', 'Huh', 'Is', 'good', 'ba']"
32,"['phyreman9', 'goole', 'always', 'good', 'place', 'look', 'mention', 'I', 'work', 'Mustang', 'w', 'Dad', 'kimble']"
33,"['Played', 'android', 'goole', 'phone', 'The', 'slide', 'screen', 'scare', 'I', 'would', 'break', 'fucker', 'fast', 'Still', 'prefer', 'phone']"
34,"['US', 'planning', 'resume', 'military', 'tribunal', 'Guantanamo', 'Bay', 'time', 'trial', 'AIG', 'exec', 'Chrysler', 'debt', 'holder']"
35,"['omg', 'bore', 'amp', 'tattoo', 'itchy', 'help', 'aha']"
36,"['Im', 'itchy', 'miserable']"
37,"['sekseemess', 'Im', 'itchy', 'Maybe', 'later', 'lol']"
38,"['jessverr', 'I', 'love', 'needy', 'Stanford', 'human', 'biology', 'video', 'make', 'miss', 'school']"
39,"['spinuzzi', 'Has', 'bit', 'crazy', 'steep', 'learn', 'curve', 'lyn', 'really', 'good', 'long', 'doc', 'For', 'anything', 'shorter', 'would', 'insane']"
40,"['Im', 'listen', 'put', 'Danny', 'gooey', 'ltd', 'ltd', 'ltd', 'Aww', 'he', 'amaze', 'I', 'ltd', 'much']"
41,"['go', 'sleep', 'bike', 'ride']"
42,"['cant', 'sleep', 'tooth', 'ache']"
43,"['Blah', 'blah', 'blah', 'old', 'old', 'No', 'plan', 'today', 'go', 'back', 'sleep', 'I', 'guess']"
44,"['glad', 'dint', 'Bay', 'Breakers', 'today', '1000', 'freak', 'degree', 'San', 'Francisco', 'wwf']"
45,"['San', 'Francisco', 'Bay', 'Breakers']"
46,"['land', 'San', 'Francisco']"
47,"['San', 'Francisco', 'today', 'Any', 'suggestion']"
48,"['ibama', 'Administration', 'Must', 'Stop', 'Bonuses', 'AIG', 'ponti', 'Schemers']"
49,"['start', 'think', 'city', 'really', 'deep', 'sapt', 'Are', 'gon', 'na', 'survive', 'turmoil', 'gon', 'na', 'next', 'AIG']"
50,"['ShaunWoo', 'hate', 'AiG']"
51,"['farthing', 'regret', 'go', 'see', 'Star', 'Trek', 'It', 'AWESOME']"
52,"['On', 'way', 'see', 'Star', 'Trek', 'The', 'Esquire']"
53,"['Going', 'see', 'star', 'trek', 'soon', 'dad']"
54,"['annoy', 'new', 'trend', 'internet', 'people', 'pick', 'apart', 'michael', 'lewis', 'malcolm', 'gladwell', 'nobody', 'want', 'read']"
55,"['Bill', 'Simmons', 'conversation', 'Malcolm', 'Gladwell']"
56,"['Highly', 'recommend', 'Malcolm', 'Gladwell']"
57,"['Blink', 'malcolm', 'gladwell', 'amaze', 'book', 'The', 'tip', 'point']"
58,"['Malcolm', 'Gladwell', 'might', 'new', 'man', 'crush']"
59,"['omg', 'The', 'commercial', 'alone', 'esp', 'go', 'drive', 'nut']"
60,"['robmalon', 'Playing', 'Twitter', 'API', 'sound', 'fun', 'May', 'need', 'take', 'class', 'find', 'new', 'friend', 'like', 'generate', 'result', 'API', 'code']"
61,"['play', 'cURL', 'Twitter', 'API']"
62,"['Hello', 'Twitter', 'API']"
63,"['play', 'Java', 'Twitter', 'API']"
64,"['morind45', 'Because', 'twitter', 'api', 'slow', 'client', 'agent', 'good']"
65,"['yahoo', 'answer', 'butt', 'sometimes']"
66,"['scrapbooking', 'Nic', 'D']"
67,"['washable', 'Five', 'Things', 'Wolfram', 'Alpha', 'Does', 'Better', 'And', 'Vastly', 'Different', 'Than', 'goole']"
68,"['change', 'default', 'pic', 'Nike', 'basketball', 'cause', 'ball', 'awesome']"
69,"['Nike', 'own', 'NBA', 'Playoffs', 'ad', 'w', 'hebron', 'Kobe', 'Carmelo', 'Adidas', 'bill', 'Howard', 'Marketing', 'Branding']"
70,"['Next', 'time', 'Ill', 'call', 'Nike']"
71,"['New', 'blow', 'post', 'Nike', 'SB', 'drunk', 'Low', 'Premium', 'White', 'Gum']"
72,"['SmartChickPDX', 'Was', 'told', 'Nike', 'layoff', 'start', 'today']"
73,"['Back', 'I', 'work', 'Nike', 'one', 'fav', 'word', 'JUST', 'DO', 'IT']"
74,"['By', 'way', 'Im', 'totally', 'inspire', 'freaky', 'Nike', 'commercial']"
75,"['give', 'weka', 'app', 'engine', 'interface', 'use', 'bird', 'strike', 'data', 'test', 'logo', 'give']"
76,"['Brand', 'New', 'Canon', 'EOS', '50', 'camp', 'slr', 'Camera', 'Canon', '1785', 'IS', 'Lens', 'Web', 'Technology', 'Thread', 'Brand', 'New', 'Canon', 'EOS', '5']"
77,"['Class', 'The', '50', 'suppose', 'come', 'today']"
78,"['need', 'someone', 'explain', 'lambda', 'calculus']"
79,"['Took', 'Graduate', 'Field', 'Exam', 'Computer', 'Science', 'today', 'Nothing', 'make', 'feel', 'like', 'idiot', 'lambda', 'calculus']"
80,"['SHOUT', 'OUTS', 'TO', 'ALL', 'EAST', 'PALO', 'ALTO', 'FOR', 'BEING', 'IN', 'THE', 'building', 'KARIZMAKAZE', 'local', 'ta', 'ALSO', 'THANKS', 'TO', 'PROFITS', 'OF', 'DOOM', 'UNIVERSAL', 'hemp', 'crack']"
81,"['legalgeekery', 'Yeahhhhhhhhh', 'I', 'couldnt', 'really', 'live', 'East', 'Palo', 'Alto', 'I', 'could', 'avoid', 'I', 'guess', 'summer']"
82,"['accannis', 'edog1203', 'Great', 'Stanford', 'course', 'Thanks', 'make', 'available', 'public', 'Really', 'helpful', 'informative', 'start']"
83,"['india', 'Names', 'Stanfords', 'Bill', 'Dally', 'Chief', 'Scientist', 'VP', 'Of', 'Research']"
84,"['New', 'blow', 'post', 'Harvard', 'Versus', 'Stanford', 'Who', 'Wins']"
85,"['work', 'til', 'pm', 'let', 'go', 'maker']"
86,"['Damn', 'North', 'Korea']"
87,"['Can', 'go', 'ahead', 'blow', 'North', 'Korea', 'map', 'already']"
88,"['North', 'Korea', 'please', 'cease', 'douchebaggery', 'China', 'even', 'like', 'anymore']"
89,"['Why', 'hell', 'pylorus', 'freak', 'China', 'whose', 'dime']"
90,"['Are', 'YOU', 'burning', 'cash', 'Chrysler', 'GM', 'Stop', 'financial', 'tsunami', 'Where', 'bail-out', 'mean', 'take', 'handout']"
91,"['insect', 'infect', 'spinach', 'plant']"
92,"['wish', 'could', 'catch', 'every', 'mosquito', 'world', 'n', 'burn', 'em', 'slowlythey', 'biting', 'shit', 'outta', '2daymosquitos', 'asshole', 'insect']"
93,"['get', 'back', 'church', 'I', 'totally', 'hate', 'insect']"
94,"['Just', 'get', 'mcdonalds', 'goddam', 'egg', 'make', 'sick', 'O', 'yeah', 'Laker', 'date', 'go', 'maker', 'Not', 'much', 'update', 'Well', 'true', 'suck']"
95,"['omg', 'ohhdee', 'want', 'mcdonalds', 'damn', 'wonder', 'open', 'lol']"
96,"['History', 'exam', 'study', 'ugh']"
97,"['I', 'hate', 'revision', 'boring', 'I', 'totally', 'unprepared', 'exam', 'tomorrow', 'Things', 'look', 'good']"
98,"['Higher', 'physic', 'exam', 'tommorrow', 'look', 'forward', 'much']"
99,"['Its', 'bank', 'holiday', 'yet', 'Im', 'work', 'Exam', 'season', 'suck']"
100,"['Cheney', 'Bush', 'real', 'culprit']"
101,"['Lifes', 'bitch', 'Dick', 'Cheney', 'p2', 'part', 'lot', 'cot', 'get', 'inc']"
102,"['Dick', 'cheney', 'dishonest', 'speech', 'torture', 'terror', 'ibama', 'Fred', 'Kaplan', 'Slate']"
103,"['The', 'Republican', 'party', 'bunch', 'anti-abortion', 'zealot', 'couldnt', 'draw', 'fly', 'dump', 'Neal', 'boot', 'radio']"
104,"['titter', 'connection', 'API', 'broken', 'Some', 'sweet', 'dint', 'make', 'Twitter']"
105,"['surely', 'hate', 'stupid', 'twitter', 'API', 'time-out', 'thing', 'soon', 'annoy']"
106,"['psychedelia', 'I', 'really', 'like', 'kswedbergs', 'Learning', 'query', 'book', 'worth', 'look']"
107,"['query', 'UI', '16', 'Book', 'Review']"
108,"['Very', 'Interesting', 'Ad', 'Adobe', 'goodbye', 'Silverstein', 'amp', 'Partners', 'couture', 'Adobe', 'c', 'Le', 'Sens', 'Propre']"
109,"['goodbye', 'Silverstein', 'agency', 'new', 'site', 'Great']"
110,"['designplay', 'goodbye', 'silverstein', 'new', 'site', 'I', 'enjoy', 'nice', 'find']"
111,"['The', 'ever', 'amaze', 'stop', 'goodbye', 'Silverstein', 'amp', 'Partners', 'HP', 'Have', 'go', 'play', 'After', 'Effects']"
112,"['top', 'ten', 'watch', 'ViralVideo', 'Chart', 'Love', 'nike', 'mostvaluablepuppets', 'campaign', 'widen', 'amp', 'Kennedy']"
113,"['omg', 'I', 'G2']"
114,"['Ok', 'lot', 'buzz', '  2009', 'lucky', 'Free', 'G2']"
115,"['get', 'free', 'G2', 'android', 'goole', 'io']"
116,"['Guess', 'Ill', 'retire', 'G1', 'start', 'use', 'developer', 'G2', 'foot', 'googleio']"
117,"['At', 'get', 'fireside', 'chat', 'googleio']"
118,"['I', 'happy', 'Philip', 'GoogleIO', 'today']"
