,text,sentiment
0,"['bluster', 'hubris', 'wework', 'still', 'future']",3
1,"['top', 'story', 'wework', 'board', 'members', 'seek', 'remove', 'adam', 'neumann', 'ceo', 'wsj', 'see']",2
2,"['many', 'companies', 'take', 'care', 'one', 'many', 'two', 'getting', 'three', 'aligned', 'brutally', 'hard', 'easiest', 'way', 'appease', 'one', 'group', 'expense', 'another', 'rewards', 'find', 'balance', 'great', 'wework']",2
3,"['wework', 'spaces', 'like']",1
4,"['wework', 'ipo', 'beware', 'master', 'unicorn', 'wranglers', 'banyanhill', 'twitter', 'news', 'noticias', 'bitcoin', 'cryptocurrency', 'forexhttp']",2
5,"['gerald_bader', 'airbnb', 'wework', 'problem', 'via', 'kate', 'clark', 'via', 'twitter']",2
6,"['true', 'didnt', 'build', 'change']",2
7,"['fastcompany', 'venture', 'capital', 'investors', 'need', 'learn', 'mistakes', 'wework', 'uber']",1
8,"['funny', 'media', 'makes', 'look', 'like', 'bold', 'encouraging', 'move', 'later', 'things', 'not', 'go', 'right', 'wework', 'ceo', 'media', 'contemplates', 'went', 'wrong']",1
9,"['softbank', 'pushes', 'wework', 'postpone', 'contentious', 'ipo']",2
10,"['airbnb', 'wework', 'problem', 'kateclarktweets']",1
11,"['softbank', 'wework', 'financing', 'would', 'lead', 'adam', 'neumann', 'exit-sources', 'reuters', 'via', 'nyt']",2
12,"['days', 'imperious', 'dictatorial', 'ceos', 'rule', 'fear', 'intimidation', 'backed', 'board', 'directors', 'yes', 'men', 'cronies', 'may', 'soon', 'ceos', 'major', 'businesses', 'shown', 'door', 'week', 'wework', 'adam', 'neumann', 'ebay', 'devin', 'wenig', 'juul', 'kevin', 'burns']",1
13,"['big', 'question', 'us', 'markets', 'whether', 'wework', 'meltdown', 'tipping', 'point', 'high', 'growth', 'profit', 'private', 'companies', 'fallout', 'certainly', 'continues', 'massive', 'underperformance', 'among', 'funds', 'invest', 'companies', 'one', 'mutual', 'fund', 'stands', 'msegx', '1/2']",1
14,"['creator', 'creative', 'types', 'personality', 'test', 'illuminates', 'four', 'stages', 'creative', 'process']",2
15,"['venezuelan', 'government', 'could', 'seeking', 'confiscate', 'exiles', 'homes', 'wework', 'insiders', 'slam', 'neumann', 'daily', 'digest']",1
16,"['takes', 'unique', 'mix', 'delusion', 'corruption', 'greed', 'egomania', 'ignorance', 'produce', 'wework', 'disaster', 'not', 'think', 'comparisons', 'business', 'pouring', '18', 'billion', 'sheer', 'fantasy', 'governments', 'typically']",1
17,"['not', 'talking', 'multiples', 'not', 'many', 'zeros', 'factor', 'probably', 'many', 'commas', 'number']",2
18,"['wework', 'pulls', 'thousands', 'phone', 'booths', 'service', 'formaldehyde', 'scare']",2
19,"['wework', 'throws', 'towel', 'ill-fated', 'ipo']",1
20,"['softbank', 'reveals', '6.5', 'billion', 'loss', 'uber', 'wework', 'turmoil']",1
21,"['boston', 'fed', 'rosengren', 'lower', 'rates', 'could', 'expose', 'co-working', 'companies', 'like', 'wework', 'via']",1
22,"['amazon', 'acquiring', 'wework', 'would', 'another', 'power', 'move', 'global', 'domination', 'wonder', 'get', 'reasonable', 'price']",2
23,"['elizabeth', 'holmes', 'not', 'jail', 'yet', 'starting', 'think', 'wework', 'theranos', 'level', 'scam']",1
24,"['many', 'thanks', 'one', 'event', 'sponsors', 'providing', 'chips', 'keeping', 'bellies', 'full']",2
25,"['merryn', 'somserset', 'webb', 'founders', 'wework', 'woodford', 'asset', 'management', 'able', 'jump', 'ship', 'rich', 'men']",2
26,"['wework', 'meetup', 'would', 'support', 'events', 'interest', 'venue', 'space', 'barcelona', 'coworking', 'orgs', 'would', 'first', 'route']",2
